Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,53.66735537,54.05610174,54.38409277,54.70836199,55.11406477,55.63110181,56.07845855,56.7020965,57.41543205,58.09038894,58.67434183,59.54608163,60.24829153,60.89078504,61.64394878,62.56862583,63.0774563,63.85051188,64.82547499,65.80913001,66.63505059,67.1851008,67.58444184,67.80110604,67.95212554,68.15383639,67.75589043,67.57338077,67.61792491,67.75134356,67.79622836,68.51585349,69.02176302,69.29984275,69.47718383,69.66984538,69.45249114,69.32601496,69.28365186,69.26205564,69.24211407,69.32632893,69.42049582,69.55419265,69.73223147,69.93831912,69.86115243,69.69807742,69.46478262,69.1892798,68.89081371,68.96876472,69.10530993,69.27352047,69.41058188,
Andorra,AND,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,55.03040481,54.717797,54.55401737,54.48084809,54.42637695,54.3590075,54.02506552,53.73348379,53.48431431,53.29065552,53.15562844,52.81856256,52.57467507,52.40725858,52.30614492,52.27819318,52.01063239,51.78890605,51.625742,51.55857978,51.63505612,51.346461,51.11406402,50.93145708,50.75089129,50.49911878,50.30104601,50.21238441,50.15678062,50.03116291,49.72775795,49.74926842,49.78081761,49.78058091,49.78894411,49.88121643,49.69390452,49.51065008,49.37298909,49.27915237,49.19947477,49.27733747,49.45182172,49.67952717,49.93818684,50.23145541,50.10665863,49.99990726,49.94608677,49.98488457,50.13540598,50.58990078,51.19994572,51.92032918,52.69431931,
Angola,AGO,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,53.0594531,52.60363383,52.15961492,51.77736997,51.54643706,51.49939506,51.17592224,51.06302694,51.1021425,51.20513239,51.31513899,51.1249067,51.01688053,50.96539888,50.95577555,50.97533055,50.74122804,50.5878832,50.49393305,50.43868374,50.404435,50.14563512,49.98386037,49.89442585,49.86658434,49.90602049,49.70798208,49.59006241,49.55118605,49.57989988,49.65373427,49.52424445,49.49668625,49.54148786,49.63682206,49.77584337,49.66338823,49.6237176,49.64324052,49.69992774,49.76845848,49.62786559,49.55503195,49.52656144,49.52880229,49.55877711,49.4333485,49.36715967,49.3561038,49.40008829,49.49620532,49.47880112,49.54495427,49.67333956,49.84108983,
Albania,ALB,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,54.4346947,54.06794349,53.69468447,53.35305186,53.11158193,53.01021821,52.95458536,53.06342388,53.29344356,53.5826566,53.89672287,54.27798768,54.64371504,55.0290785,55.48303199,56.01848684,56.48685367,57.05118098,57.65915131,58.23736145,58.74987179,59.20900192,59.60897531,59.9644694,60.29804349,60.61280188,60.87705274,61.10771157,61.31481885,61.53198599,61.80152512,61.53088534,61.30830803,61.14885678,61.025449,60.89991171,61.29217855,61.63689166,61.95031226,62.2778104,62.66220153,63.02427617,63.45100656,63.95297469,64.51550024,65.12670286,65.72373728,66.28532351,66.81642951,67.277976,67.62005911,68.15690174,68.57029986,68.84802418,69.00732124,
Arab World,ARB,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,53.28845555,52.89270624,52.54852091,52.26576782,52.06570997,51.95685018,51.72979451,51.62764581,51.61279808,51.6463593,51.71257673,51.65738461,51.6682889,51.72943433,51.82072117,51.92289493,51.97917641,52.04701262,52.12512167,52.22344789,52.3499559,52.41070206,52.51555595,52.65193104,52.80202433,52.95974628,53.01540633,53.10045029,53.20818245,53.34630861,53.49392601,53.71021231,53.88918554,54.2327855,54.63635559,55.17376464,55.65458036,56.15705668,56.67476319,57.20572846,57.74896933,58.27759585,58.82461424,59.37463473,59.90915056,60.41407812,60.90863019,61.37527623,61.79280927,62.142123,62.41313487,62.50024321,62.52031029,62.49095476,62.44251591,
United Arab Emirates,ARE,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,51.89392303,53.26731693,54.79508197,56.35222336,57.83822891,59.19650341,60.43569225,61.42763169,62.21939216,62.91725446,63.53542819,65.83260648,67.83462781,69.27196119,70.03836725,70.18135959,71.15686656,71.64912727,71.57073897,71.1233545,70.5545595,69.98174014,69.32092739,68.57759212,67.82284785,67.14461214,66.94064093,67.0020428,67.24495385,67.6369664,68.17331674,68.95791845,69.7806454,70.63513957,71.49964638,72.32345272,72.6602143,73.01781737,73.22704544,73.31418756,73.43442636,75.15542137,76.85594833,78.4300725,79.80651141,80.92818882,82.32668859,83.60238598,84.60065025,85.3545743,85.96301582,85.75343325,85.54966846,85.34005282,85.12691694,
Argentina,ARG,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,63.69539371,63.61909865,63.57294796,63.55703225,63.57104875,63.61134745,63.59659825,63.61463952,63.65033418,63.67989534,63.68598221,63.62843209,63.55413702,63.46036479,63.34100034,63.18934591,62.88268229,62.51815433,62.12731611,61.7641477,61.46227575,61.08559866,60.87811856,60.77001056,60.66772642,60.53297761,60.51567732,60.40139278,60.27085896,60.23443353,60.33330848,60.37015815,60.54961456,60.81689636,61.08662932,61.31881297,61.48460165,61.64059992,61.78751378,61.93970354,62.10358278,62.2930846,62.45657926,62.61157064,62.7805969,62.97085659,63.09792903,63.26967318,63.45628953,63.61417283,63.7230494,63.80106826,63.83146459,63.83442556,63.84458911,
Armenia,ARM,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,55.19514875,54.35574404,53.68769885,53.20820295,52.92608084,52.85333273,52.93087608,53.28179767,53.84766363,54.52680174,55.25081718,56.27030789,57.17308804,58.01594037,58.89636526,59.84746872,60.60861702,61.46112169,62.31466125,63.05145827,63.62717671,64.02131674,64.25245946,64.35997397,64.41308947,64.44439253,64.44530873,64.41643665,64.33044414,64.17930291,64.00779193,63.59333605,63.1530916,62.7331198,62.3878894,62.14466304,62.32855669,62.68614238,63.16924289,63.68221163,64.145063,64.68819321,65.10833214,65.48520956,65.93228248,66.49639111,66.96043283,67.52844684,68.1093865,68.59207419,68.93729568,69.60802349,70.16044849,70.54614142,70.75672105,
American Samoa,ASM,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
