Country,Population (2014),1 Year Change,Population,Migrants (net),Median Age,Aged 60+,Fertility Rate,Area (Km2),Density,Urban Pop%,Urban Population,Share of World Pop
China,1393783836,0.0059,8217299,-313996,35.7,0.14,1.66,9596947,145,0.54,756300115,0.1924
India,1267401849,0.0122,15262253,-483402,26.6,0.09,2.53,3287265,386,0.32,410404773,0.175
U.S.A.,322583006,0.0079,2532290,1008835,37.5,0.2,1.99,9629056,34,0.83,268084524,0.0445
Indonesia,252812245,0.0118,2946614,-141488,28.1,0.08,2.38,1904567,133,0.53,133860626,0.0349
Brazil,202033670,0.0083,1671745,-46113,30.7,0.12,1.83,8514209,24,0.85,172549088,0.0279
Pakistan,185132926,0.0164,2990332,-334980,22.8,0.07,3.3,796096,233,0.37,68888535,0.0256
Nigeria,178516904,0.0282,4901559,-60000,17.8,0.04,6.01,923766,193,0.51,91834051,0.0246
Bangladesh,158512570,0.0122,1917608,-456443,25.4,0.07,2.24,143998,1101,0.3,47334620,0.0219
Russia,142467651,-0.0026,-366038,254018,38.4,0.19,1.51,17076310,8,0.74,105911587,0.0197
Japan,126999808,-0.0011,-143769,73466,46.2,0.33,1.4,377873,336,0.93,117995650,0.0175
Mexico,123799215,0.012,1466816,-267202,27.3,0.1,2.23,1958198,63,0.79,97734761,0.0171
Philippines,100096496,0.0173,1702922,-156793,23.2,0.07,3.11,300000,334,0.5,49643960,0.0138
Ethiopia,96506031,0.0256,2405275,-11577,18.4,0.05,4.72,1104302,87,0.18,17172948,0.0133
Vietnam,92547959,0.0095,868226,-53768,30.3,0.1,1.78,331689,279,0.33,30482811,0.0128
Egypt,83386739,0.0162,1330361,-47438,25.5,0.09,2.82,1001450,83,0.44,36713659,0.0115
Germany,82652256,-0.0009,-74370,42856,45.9,0.28,1.4,357021,232,0.74,61437197,0.0114
Iran,78470222,0.0132,1023054,-67715,29,0.08,1.92,1648188,48,0.7,54547946,0.0108
Turkey,75837020,0.0121,904379,-47433,29.8,0.11,2.07,783562,97,0.74,56235478,0.0105
Congo,69360118,0.0273,1846441,-11941,17.4,0.05,6.08,2344832,30,0.36,24912419,0.0096
Thailand,67222972,0.0032,212470,-29600,37.4,0.15,1.42,513113,131,0.35,23691532,0.0093
France,64641279,0.0054,349999,124252,40.8,0.24,1.98,551500,117,0.87,56419209,0.0089
U. K.,63489234,0.0056,352969,177549,40.4,0.23,1.88,242900,261,0.8,50802810,0.0088
Italy,61070224,0.0013,79947,209262,44.7,0.27,1.46,301318,203,0.69,42101235,0.0084
Burma,53718958,0.0086,459940,-30314,29.4,0.09,1.97,676578,79,0.34,18447667,0.0074
South Africa,53139528,0.0069,363398,33917,26.2,0.09,2.43,1221037,44,0.63,33638902,0.0073
Tanzania,50757459,0.0305,1504333,-34461,17.5,0.05,5.31,945081,54,0.28,14271377,0.007
South Korea,49512026,0.0051,249328,61441,39.9,0.18,1.3,99538,497,0.84,41591331,0.0068
Colombia,48929706,0.0126,608301,-24000,28,0.1,2.33,1138907,43,0.76,37240023,0.0068
Spain,47066402,0.003,139439,156310,41.8,0.23,1.48,505992,93,0.78,36646776,0.0065
Kenya,45545980,0.0269,1192289,-13051,18.9,0.04,4.49,580366,78,0.25,11482050,0.0063
Ukraine,44941303,-0.0066,-297502,11403,39.8,0.22,1.44,603701,74,0.69,31225151,0.0062
Argentina,41803125,0.0086,356879,-22974,31.3,0.15,2.2,2780387,15,0.93,38848372,0.0058
Algeria,39928947,0.0184,720753,-9960,27.2,0.08,2.8,2381685,17,0.75,30093970,0.0055
Uganda,38844624,0.0337,1265748,-29374,15.8,0.04,6,241037,161,0.17,6533597,0.0054
Sudan,38764090,0.0211,799784,-145645,19.3,0.05,4.53,1861510,21,0.34,13058626,0.0054
Poland,38220543,0.0001,3908,-8613,39.1,0.22,1.39,323251,118,0.61,23216731,0.0053
Canada,35524732,0.0098,343028,225751,40.3,0.22,1.66,9970455,4,0.81,28769673,0.0049
Iraq,34768761,0.0297,1003529,-90291,19.9,0.05,4.12,438319,79,0.66,23088950,0.0048
Morocco,33492909,0.0147,484759,-96109,27.2,0.08,2.69,446548,75,0.58,19469883,0.0046
Afghanistan,31280518,0.0239,728844,-90458,16.8,0.04,5.24,652085,48,0.24,7652414,0.0043
Venezuela,30851343,0.0147,446136,8000,27.4,0.1,2.43,912060,34,0.94,29023840,0.0043
Peru,30769077,0.013,393474,-71581,26.8,0.1,2.47,1285204,24,0.78,24073769,0.0042
Malaysia,30187896,0.0158,470931,96816,27.8,0.09,2,329847,92,0.75,22552009,0.0042
Saudi Arabia,29369428,0.0188,540558,52720,27.9,0.05,2.74,2149717,14,0.83,24349303,0.0041
Uzbekistan,29324920,0.0135,390818,-46905,25.6,0.07,2.35,447401,66,0.36,10668375,0.004
Nepal,28120740,0.0116,323283,-92841,22.7,0.08,2.44,147181,191,0.18,5062259,0.0039
Mozambique,26472977,0.0247,639225,-4782,17.3,0.05,5.29,801580,33,0.32,8467165,0.0037
Ghana,26442178,0.0208,537580,22722,20.8,0.05,3.95,238534,111,0.54,14229154,0.0037
North Korea,25026588,0.0053,131108,0,33.7,0.13,2,120538,208,0.61,15200505,0.0035
Yemen,24968508,0.023,561127,-27000,19.4,0.05,4.29,527965,47,0.34,8502413,0.0034
Australia,23630169,0.0123,287616,163179,37.3,0.2,1.88,7739983,3,0.9,21179230,0.0033
Madagascar,23571962,0.0282,647111,-1000,18.6,0.05,4.57,587039,40,0.34,8122672,0.0033
Cameroon,22818632,0.0254,564673,-10696,18.4,0.05,4.89,475438,48,0.54,12274491,0.0032
Angola,22137261,0.031,665643,13709,16.3,0.04,6.02,1246678,18,0.61,13595362,0.0031
Syria,21986615,0.004,88554,284013,22.6,0.07,3.04,185180,119,0.57,12587305,0.003
Romania,21640168,-0.0027,-58417,-9353,39.7,0.21,1.4,238391,91,0.53,11449200,0.003
Sri Lanka,21445775,0.0081,172547,-65828,31.7,0.13,2.34,65610,327,0.15,3298712,0.003
C?te d'Ivoire,20804774,0.0241,488688,-14213,19.1,0.05,4.91,322465,65,0.53,11115596,0.0029
Niger,18534802,0.0395,703532,-5699,15,0.04,7.58,1266990,15,0.19,3450914,0.0026
Chile,17772871,0.0087,153163,6000,33.4,0.15,1.84,756614,23,0.9,15952124,0.0025
Burkina Faso,17419615,0.0286,484776,-25000,17.2,0.04,5.73,274001,64,0.29,5048742,0.0024
Malawi,16829144,0.0285,466577,0,17.3,0.05,5.5,118484,142,0.16,2717984,0.0023
Netherlands,16802463,0.0026,43234,10218,42.1,0.24,1.77,41528,405,0.84,14161696,0.0023
Kazakhstan,16606878,0.0101,166292,0,29.5,0.1,2.46,2725119,6,0.53,8859912,0.0023
Ecuador,15982551,0.0155,244673,-6549,26.4,0.1,2.61,283560,56,0.69,11043074,0.0022
Guatemala,15859714,0.0253,391511,-18251,19.5,0.07,3.88,108889,146,0.51,8110242,0.0022
Mali,15768227,0.0305,466577,-48558,16.2,0.04,6.85,1240225,13,0.37,5810359,0.0022
Cambodia,15408270,0.018,273101,-40717,24.7,0.08,2.92,181035,85,0.21,3168936,0.0021
Zambia,15021002,0.0332,482362,-9302,16.6,0.04,5.74,752631,20,0.4,6080022,0.0021
Zimbabwe,14599325,0.0318,449677,-91896,19.8,0.06,3.59,390753,37,0.4,5851422,0.002
Senegal,14548171,0.0294,414891,-22134,18.1,0.05,5,196722,74,0.43,6325367,0.002
Chad,13211146,0.0301,385832,-20145,15.9,0.04,6.42,1284007,10,0.22,2919644,0.0018
Rwanda,12100049,0.0275,323527,-9643,18.3,0.04,4.66,26338,459,0.2,2424481,0.0017
Guinea,12043898,0.0254,298709,-2818,18.7,0.05,5.04,245859,49,0.37,4445011,0.0017
